1426B-S25N7SegmentDisplay,,,,
,,,,
Item,Qty,Reference(s),Value,Datasheet
1,2,"C1, C4",0.1uF,C0603C104Z3VACTU
2,1,C2,100uf/16V,EKMG160ELL101ME11D
3,1,C3,1uf/25V,TAP105K035SCS
4,1,CN1,HIF3FC-20PA,HIF3FC-20PA
5,1,D1,1SS355,1SS355
6,1,IC1,74HC138,74HC138
7,1,IC2,TD62083,TD62083
8,1,IC3,74HC123,74HC123
9,5,"LED1, LED2, LED3, LED4, LED5",GREEN,L1043GD
10,1,LED6,HDSP_5507,HDSP5507
11,3,"LED7, LED8, LED9",LA601AB,LA601AB
12,7,"R1, R2, R3, R4, R5, R27, R28",10k,RC0603JR-07410KL
13,5,"R6, R7, R8, R9, R10",1k,RC0603JR-0741KL
14,8,"R11, R12, R13, R14, R15, R16, R17, R18",27 1/2W,RMCF1210JT27R0
15,8,"R19, R20, R21, R22, R23, R24, R25, R26",820 1/2W,RMCF1210JT820R
16,1,SW1,SKHHBY,SKHHBY
17,5,"TR1, TR2, TR3, TR4, TR5",SSM3J334R,SSM3J334R
